cinema,titre_source,titre,imdb_id,ignorer,note
Le Comoedia,Memento 2,Memento,,,"Numéro de salle collé au titre par le PDF. L'imdb_id laissé vide : l'association se refait sur le titre corrigé."
Le Comoedia,Tati au Cinéma ! 2,,,oui,"Nom du cycle Tati, pas un titre de film."
